go bininfo D:\github\NONO_PHP-memcache-dll checkavx recurse;;;;;;;;;;;;;;;;;
filename;date;x;link;set;cl;bver;pver;fver;pdb;pdb;Â©   ;product;company;description;originalname;internalname;copyright
/vc14/x64/nts/php-7.0.x_memcache.dll;18/05/2016 08:50;64;;;14.00;3.0.9.0;7.0.6;3.0.9-dev;n/a;n/a;KO;PHP;The PHP Group;php_memcache.dll;php_memcache.dll;MEMCACHE extension;Copyright © 1997-2016 The PHP Group
/vc14/x64/nts/php-7.1.x_memcache.dll;08/12/2016 13:53;64;ltcg;;14.00;3.0.9.0;7.1.0;3.0.9-dev;n/a;n/a;KO;PHP;The PHP Group;php_memcache.dll;php_memcache.dll;MEMCACHE extension;Copyright © 1997-2016 The PHP Group
/vc14/x64/ts/php-7.0.x_memcache.dll;18/05/2016 10:47;64;;;14.00;3.0.9.0;7.0.6;3.0.9-dev;n/a;n/a;KO;PHP;The PHP Group;php_memcache.dll;php_memcache.dll;MEMCACHE extension;Copyright © 1997-2016 The PHP Group
/vc14/x64/ts/php-7.1.x_memcache.dll;08/12/2016 13:46;64;ltcg;;14.00;3.0.9.0;7.1.0;3.0.9-dev;n/a;n/a;KO;PHP;The PHP Group;php_memcache.dll;php_memcache.dll;MEMCACHE extension;Copyright © 1997-2016 The PHP Group
/vc14/x86/nts/php-7.0.x_memcache.dll;18/05/2016 10:55;32;;;14.00;3.0.9.0;7.0.6;3.0.9-dev;n/a;n/a;KO;PHP;The PHP Group;php_memcache.dll;php_memcache.dll;MEMCACHE extension;Copyright © 1997-2016 The PHP Group
/vc14/x86/nts/php-7.1.x_memcache.dll;08/12/2016 14:04;32;ltcg;;14.00;3.0.9.0;7.1.0;3.0.9-dev;n/a;n/a;KO;PHP;The PHP Group;php_memcache.dll;php_memcache.dll;MEMCACHE extension;Copyright © 1997-2016 The PHP Group
/vc14/x86/ts/php-7.0.x_memcache.dll;18/05/2016 10:58;32;;;14.00;3.0.9.0;7.0.6;3.0.9-dev;n/a;n/a;KO;PHP;The PHP Group;php_memcache.dll;php_memcache.dll;MEMCACHE extension;Copyright © 1997-2016 The PHP Group
/vc14/x86/ts/php-7.1.x_memcache.dll;08/12/2016 14:01;32;ltcg;;14.00;3.0.9.0;7.1.0;3.0.9-dev;n/a;n/a;KO;PHP;The PHP Group;php_memcache.dll;php_memcache.dll;MEMCACHE extension;Copyright © 1997-2016 The PHP Group
/vc15/x64/nts/avx/php-7.1.x_memcache.dll;14/11/2020 18:30;64;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x64-avx nts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/avx/php-7.2.x_memcache.dll;06/12/2020 18:17;64;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x64-avx nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/avx/php-7.3.x_memcache.dll;06/12/2020 18:09;64;ltcg;avx (214);14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x64-avx nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/avx/php-7.4.x_memcache.dll;06/12/2020 18:00;64;ltcg;avx (214);14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x64-avx nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/avx/php-8.0.x_memcache.dll;22/09/2022 21:49;64;ltcg;avx (212);14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/avx/php-8.1.x_memcache.dll;22/09/2022 21:04;64;ltcg;avx (211);14.16;8.0.1.0;8.0.1;8.0.1;php-8.1.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.1 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/avx/php-8.2.x_memcache.dll;24/11/2023 15:58;64;ltcg;avx (226);14.16;8.2.0.0;8.2;8.2.0.0;php-8.2.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] php-src:8.2 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/avx/php-8.3.x_memcache.dll;24/11/2023 16:17;64;ltcg;avx (226);14.16;8.2.0.0;8.2;8.2.0.0;php-8.3.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64-avx vcver:14.16[vc15] php-src:8.3 build:nts commit:972b554 branch:main date:2023-05-04;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
/vc15/x64/nts/php-7.1.x_memcache.dll;14/11/2020 18:31;64;ltcg;;14.16;4.0.5.2;7.1;4.0.5.2-4fdcbf9;php-7.1.x_memcache.pdb;OK;KO;pecl-memcache x64 nts [vc15];The PHP Group;NON_BLOCKING_IO_php7 - 4fdcbf9 (2020-09-24);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/php-7.2.x_memcache.dll;06/12/2020 18:18;64;ltcg;;14.16;8.0.0.0;7.2;8.0-36d7181;php-7.2.x_memcache.pdb;OK;KO;pecl-memcache x64 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/php-7.3.x_memcache.dll;06/12/2020 18:10;64;ltcg;;14.16;8.0.0.0;7.3;8.0-36d7181;php-7.3.x_memcache.pdb;OK;KO;pecl-memcache x64 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/php-7.4.x_memcache.dll;06/12/2020 18:01;64;ltcg;;14.16;8.0.0.0;7.4;8.0-36d7181;php-7.4.x_memcache.pdb;OK;KO;pecl-memcache x64 nts [vc15];The PHP Group;NON_BLOCKING_IO_php8 - 36d7181 (2020-12-06);php_memcache.dll;php_memcache.dll;https://github.com/nono303/PHP-memcache-dll
/vc15/x64/nts/php-8.0.x_memcache.dll;22/09/2022 21:50;64;ltcg;;14.16;8.0.1.0;8.0.1;8.0.1;php-8.0.x_memcache.pdb;OK;OK;php:php_memcache; ;arch:x64 vcver:14.16[vc15] commit:96910ce tag:8.0.1 branch:NON_BLOCKING_IO_php8 date:2022-07-29 php:8.0 build:nts;php_memcache.dll;php_memcache.dll;https://github.com/nono303/win-build-scripts
